53,12/31/2012,Chennai India ATP World Tour 250,HARD,2,Stan Wawrinka,Cedrik-Marcel Stebe,Stan Wawrinka,6-4; 6-3,R16,81,7,0,36,52,29,36,12,16,0,0,10,41,52,3,0,49,79,36,49,11,30,7,9,9,47,79
54,12/31/2012,Chennai India ATP World Tour 250,HARD,2,Go Soeda,Prakash Amritraj,Go Soeda,7-6(2); 3-6; 6-4,R16,150,11,1,54,92,44,54,19,38,4,8,16,63,92,9,0,70,120,46,70,27,50,14,17,15,73,120
55,12/31/2012,Chennai India ATP World Tour 250,HARD,2,Janko Tipsarevic,Edouard Roger-Vasselin,Janko Tipsarevic,6-2; 6-3,R16,68,2,1,27,42,22,27,12,15,0,0,8,34,42,2,0,37,59,23,37,8,22,1,5,9,31,59
56,12/31/2012,Chennai India ATP World Tour 250,HARD,2,Roberto Bautista Agut,Tomas Berdych,Roberto Bautista Agut,7-5; 2-6; 6-3,Q,138,2,2,69,96,44,69,12,27,5,9,15,56,96,11,3,53,94,40,53,15,41,11,15,14,55,94
57,12/31/2012,Chennai India ATP World Tour 250,HARD,2,Benoit Paire,Marin Cilic,Benoit Paire,6-4; 1-6; 7-5,Q,114,9,7,45,91,34,45,20,46,2,6,14,54,91,8,1,47,83,30,47,22,36,5,9,15,52,83
58,12/31/2012,Chennai India ATP World Tour 250,HARD,2,Aljaz Bedene,Stan Wawrinka,Aljaz Bedene,6-2; 7-6(6),Q,91,5,3,45,71,32,45,18,26,3,4,10,50,71,5,2,49,72,31,49,10,23,4,7,10,41,72
59,12/31/2012,Chennai India ATP World Tour 250,HARD,2,Janko Tipsarevic,Go Soeda,Janko Tipsarevic,6-2; 6-4,Q,70,9,1,32,46,27,32,6,14,0,2,9,33,46,6,0,34,61,19,34,10,27,3,8,9,29,61
60,12/31/2012,Chennai India ATP World Tour 250,HARD,2,Roberto Bautista Agut,Benoit Paire,Roberto Bautista Agut,3-6; 6-1; 6-4,S,114,3,3,62,95,44,62,13,33,3,5,13,57,95,15,6,46,85,36,46,15,39,5,9,13,51,85
61,12/31/2012,Chennai India ATP World Tour 250,HARD,2,Janko Tipsarevic,Aljaz Bedene,Janko Tipsarevic,4-6; 6-2; 6-2,S,125,9,0,50,81,36,50,18,31,5,6,13,54,81,8,5,48,86,34,48,15,38,5,9,13,49,86
62,12/31/2012,Chennai India ATP World Tour 250,HARD,2,Janko Tipsarevic,Roberto Bautista Agut,Janko Tipsarevic,3-6; 6-1; 6-3,F,109,8,1,37,66,32,37,14,29,0,1,12,46,66,5,3,52,79,31,52,15,27,3,7,13,46,79
